country,code
Andorra,020
Argentina,032
Australia,036
Austria,040
Belgium,056
Bermuda,060
Bolivia,068
Botswana,072
Brazil,076
Bulgaria,100
Canada,124
Chile,152
China,156
Colombia,170
Costa Rica,188
Croatia,191
Czech Republic,203
Denmark,208
Ecuador,218
Egypt,818
England & Wales,826
Finland,246
France,250
Germany,276
Ghana,288
Gibraltar,292
Greece,300
Hong Kong,344
Hungary,348
India,356
Indonesia,360
Ireland,372
Isle Of Man,833
Italy,380
Japan,392
Kenya,404
Luxembourg,442
Malaysia,458
Mauritius,480
Mexico,484
Morocco,504
Mozambique,508
Myanmar,104
Netherlands,528
New Zealand,554
Nigeria,566
Norway,578
Panama,591
Peru,604
Philippines,608
Poland,616
Portugal,620
Puerto Rico,630
Romania,642
Russia,643
Saudi Arabia,682
Singapore,702
Slovak Republic,703
South Africa,710
South Korea,410
Spain,724
Sri Lanka,144
Sweden,752
Switzerland,756
Taiwan,158
Tanzania,834
Thailand,764
Trinidad and Tobago,780
Turkey,792
United Kingdom,826
United States,840
Uruguay,858
Venezuela,862
Zambia,894
